win,matchId,p1_team,p1_champ,p1_position,p1_gold_per_min,p1_xp_per_min,p1_cs_per_min,p1_dmg_taken_per_min,p1_gold_10min,p1_cs_10min,p1_xp_10min,p1_kills_10min,p1_deaths_10min,p1_assists_10min,p1_damage_10min,p2_team,p2_champ,p2_position,p2_gold_per_min,p2_xp_per_min,p2_cs_per_min,p2_dmg_taken_per_min,p2_gold_10min,p2_cs_10min,p2_xp_10min,p2_kills_10min,p2_deaths_10min,p2_assists_10min,p2_damage_10min,p3_team,p3_champ,p3_position,p3_gold_per_min,p3_xp_per_min,p3_cs_per_min,p3_dmg_taken_per_min,p3_gold_10min,p3_cs_10min,p3_xp_10min,p3_kills_10min,p3_deaths_10min,p3_assists_10min,p3_damage_10min,p4_team,p4_champ,p4_position,p4_gold_per_min,p4_xp_per_min,p4_cs_per_min,p4_dmg_taken_per_min,p4_gold_10min,p4_cs_10min,p4_xp_10min,p4_kills_10min,p4_deaths_10min,p4_assists_10min,p4_damage_10min,p5_team,p5_champ,p5_position,p5_gold_per_min,p5_xp_per_min,p5_cs_per_min,p5_dmg_taken_per_min,p5_gold_10min,p5_cs_10min,p5_xp_10min,p5_kills_10min,p5_deaths_10min,p5_assists_10min,p5_damage_10min,p6_team,p6_champ,p6_position,p6_gold_per_min,p6_xp_per_min,p6_cs_per_min,p6_dmg_taken_per_min,p6_gold_10min,p6_cs_10min,p6_xp_10min,p6_kills_10min,p6_deaths_10min,p6_assists_10min,p6_damage_10min,p7_team,p7_champ,p7_position,p7_gold_per_min,p7_xp_per_min,p7_cs_per_min,p7_dmg_taken_per_min,p7_gold_10min,p7_cs_10min,p7_xp_10min,p7_kills_10min,p7_deaths_10min,p7_assists_10min,p7_damage_10min,p8_team,p8_champ,p8_position,p8_gold_per_min,p8_xp_per_min,p8_cs_per_min,p8_dmg_taken_per_min,p8_gold_10min,p8_cs_10min,p8_xp_10min,p8_kills_10min,p8_deaths_10min,p8_assists_10min,p8_damage_10min,p9_team,p9_champ,p9_position,p9_gold_per_min,p9_xp_per_min,p9_cs_per_min,p9_dmg_taken_per_min,p9_gold_10min,p9_cs_10min,p9_xp_10min,p9_kills_10min,p9_deaths_10min,p9_assists_10min,p9_damage_10min,p10_team,p10_champ,p10_position,p10_gold_per_min,p10_xp_per_min,p10_cs_per_min,p10_dmg_taken_per_min,p10_gold_10min,p10_cs_10min,p10_xp_10min,p10_kills_10min,p10_deaths_10min,p10_assists_10min,p10_damage_10min,team100_kills_10min,team200_kills_10min,team100_deaths_10min,team200_deaths_10min,kill_diff_10min,kills_100,kills_200,kill_diff,first_blood_team100,jungle_own_100,jungle_enemy_100,jungle_own_200,jungle_enemy_200,jungle_invade_diff,gold_diff_10min,xp_diff_10min
0,NA1_5505235731,100,Aurora,TOP,264.2254228866763,481.45706735054097,7.4413843730460165,448.21703405123424,2879,67,4335,0,1,1,4309,100,Zac,JUNGLE,309.7620337784372,356.51175890913834,6.219153455300227,628.896533039425,3289,56,3210,1,1,2,1451,100,Xerath,MIDDLE,333.7611580868359,517.6829479105486,9.218603289939244,290.546878972558,3505,83,4661,1,1,0,3372,100,Yunara,BOTTOM,316.9816863450535,347.9748321593754,7.663201961032529,369.3772201879581,3354,69,3133,1,1,1,2893,100,Bard,UTILITY,191.14638499406036,272.54547363045924,0.666650000462949,360.7461689089446,2221,6,2454,0,1,1,2623,200,KSante,TOP,302.8784944038661,517.3342916285872,8.21844819046068,696.8870515956945,3227,74,4658,1,1,0,3654,200,Olaf,JUNGLE,411.0482645741651,491.23896223562105,9.77364829850998,566.5557750756911,4201,88,4423,2,0,1,1585,200,Jayce,MIDDLE,342.6998242019644,519.4211488737263,9.329605179524057,364.541379517098,3586,84,4677,1,0,0,2832,200,Xayah,BOTTOM,255.90555470813192,357.5301336469954,6.997306045774399,438.90738740870563,2804,63,3219,0,1,0,2242,200,Soraka,UTILITY,255.67931668285993,293.42478641529874,1.3331167398183608,273.77458544437457,2802,12,2642,1,1,2,2805,3,5,5,3,-2,3,5,-2,0,0,0,1,3,-3,-1372,-1826
1,NA1_5509339357,100,Renekton,TOP,339.3015027645698,463.67049130379394,6.663020549215919,992.315245207136,3555,60,4175,3,2,0,6159,100,JarvanIV,JUNGLE,392.94822591059165,450.1369800463112,8.55164081205507,528.0242530518454,4038,77,4053,2,1,1,2201,100,Aurora,MIDDLE,314.7683252824903,550.6951844667442,8.441230481232736,522.5679654530019,3334,76,4958,1,1,0,6577,100,Draven,BOTTOM,457.09999118944665,341.0663859965508,6.330175688326733,484.44427662611474,4616,57,3071,5,0,2,7184,100,Rell,UTILITY,241.54443846265121,262.9790850191237,1.443846903149388,443.4813744975281,2675,13,2368,0,2,5,1820,200,Chogath,TOP,275.4483364294586,419.5959134154998,5.664207828787649,677.934167051912,2980,51,3778,1,3,1,4588,200,Kayn,JUNGLE,372.46358668104904,360.5912570104813,5.997235878674175,678.1936764853515,3854,54,3247,3,2,0,2498,200,Gangplank,MIDDLE,227.45347123069627,447.2841189281619,5.108898253384583,739.6184061135206,2548,46,4027,0,1,0,1037,200,AurelionSol,BOTTOM,314.1028825300128,284.6608684503205,6.552734074230144,644.6784364606922,3328,59,2563,1,3,2,3079,200,Nami,UTILITY,236.02348463074472,268.02907548193605,1.110698490957647,375.0016022976539,2625,10,2413,1,2,2,2424,11,6,6,11,5,11,6,5,1,0,0,0,0,0,2883,2597
1,NA1_5497611535,100,Darius,TOP,297.31107872769087,467.7807385014724,7.551856144126445,578.556019763307,3177,68,4212,1,2,0,2647,100,Jayce,JUNGLE,338.7375293159715,438.33890594059693,7.773743537346072,460.57501815416384,3550,70,3947,1,0,1,1626,100,Kayle,MIDDLE,272.3381206529462,512.3317490247659,6.664145681679261,552.0093699750404,2952,60,4613,1,1,0,1736,100,Sivir,BOTTOM,416.95619307629056,336.19978887723266,7.552514770558146,487.3537946781154,4254,68,3027,4,2,1,5801,100,Braum,UTILITY,234.68154984440162,308.64166229077466,0.777376244477378,563.3071327221322,2613,7,2779,0,2,5,2112,200,Kennen,TOP,366.5302193792202,520.8916102038502,8.773933945366915,391.0873634873969,3800,79,4690,2,1,0,4660,200,Nunu,JUNGLE,284.20543890560293,380.2765541964283,7.330040874782453,756.8173963665655,3059,66,3424,0,2,2,1738,200,Akshan,MIDDLE,352.2874040241426,523.3392266874523,9.440493120675278,428.62049067233136,3672,85,4712,1,1,0,4812,200,Lucian,BOTTOM,404.6270109987682,300.53025621998677,4.886488656303769,439.1279677124823,4143,44,2706,4,2,0,5492,200,Milio,UTILITY,239.79282209226938,252.1036415139703,1.6660539577563247,368.31292925149745,2659,15,2270,0,1,4,1325,7,7,7,7,0,7,7,0,1,1,0,0,2,-2,-787,776
1,NA1_5508256439,100,Yasuo,TOP,242.24260900842995,459.2715075359751,7.219662662104824,315.5735871234275,2681,65,4135,0,0,0,1431,100,Diana,JUNGLE,315.98126396885397,394.056039507615,7.107882099737222,484.1545137208456,3345,64,3548,0,0,4,1598,100,Viktor,MIDDLE,341.64205260588244,549.5495158157729,7.886007256230674,431.6770675382582,3576,71,4948,2,0,0,3817,100,Xayah,BOTTOM,437.6496871196068,327.87802963041753,6.997301821957024,623.0808180391505,4440,63,2952,6,3,0,6680,100,Rakan,UTILITY,278.1277546667958,321.8720740325623,1.44386708383954,477.4715022207417,3004,13,2898,0,1,6,1882,200,Jax,TOP,253.0105086151849,480.4643976162028,7.6636689578255215,269.46615011108423,2778,69,4326,0,0,0,1939,200,Udyr,JUNGLE,329.8592684041129,429.82155938525506,8.107713613155008,416.5166258676424,3470,73,3870,1,0,0,171,200,Syndra,MIDDLE,281.00901352555707,476.46967144588757,8.552322496304354,482.13195696691776,3030,77,4290,0,2,0,3431,200,Nilah,BOTTOM,347.9832267341337,377.84106336248476,7.108020651938636,866.8772234478201,3633,64,3402,1,3,3,7880,200,Yuumi,UTILITY,311.2294786620033,361.6264080857845,1.555031773922246,293.49304154377995,3302,14,3256,2,3,2,1574,8,4,4,8,4,8,4,4,0,1,2,0,0,2,833,-663
0,NA1_5506200325,100,Pantheon,TOP,223.597583000142,437.0021494149335,5.109447278679807,370.9816639831212,2513,46,3934,0,2,0,1711,100,Jayce,JUNGLE,330.23507287957614,394.0700627112196,7.775329176297553,429.8628193063921,3473,70,3548,0,0,2,1447,100,Ahri,MIDDLE,318.53619191067503,440.18292828496766,7.219755121596882,243.71507849422792,3368,65,3963,2,0,0,2740,100,Seraphine,BOTTOM,369.7925765759303,338.1114723322724,5.664410797661359,400.1574461729449,3829,51,3044,4,1,2,4855,100,Sona,UTILITY,253.03675633478613,221.0257447212066,0.4441890629543421,506.4616369023194,2778,4,1990,0,3,6,3691,200,Vayne,TOP,359.21463145359303,558.0205074214998,8.886049808833107,341.4247298703407,3734,80,5024,2,0,0,3246,200,MasterYi,JUNGLE,314.0090186983166,431.4033300383118,8.663835036030347,543.7411910050539,3327,78,3884,0,0,0,0,200,Orianna,MIDDLE,302.89620112091666,505.0421684548085,9.441142941795665,209.73745339916803,3227,85,4547,0,0,0,1645,200,Riven,BOTTOM,353.2241843094388,300.0118963259723,5.886890098681693,659.5851420015804,3680,53,2701,4,4,0,3985,200,Senna,UTILITY,235.92302973051198,268.23995540969446,1.55525381436247,615.9513532828686,2624,14,2415,0,2,3,3878,6,6,6,6,0,6,6,0,1,0,0,0,0,0,-631,-2092
1,NA1_5509293971,100,DrMundo,TOP,255.02283406745735,440.72578847623197,5.331234970927484,894.7656865600037,2796,48,3968,1,4,0,4166,100,Karthus,JUNGLE,376.89321242596816,407.5701304228468,7.442757889620334,683.5116314256338,3893,67,3669,1,1,2,3560,100,Kayle,MIDDLE,302.7788905042657,494.05077667848167,6.664236817077515,573.3751955204586,3226,60,4448,1,2,1,4466,100,Caitlyn,BOTTOM,458.42063067821164,333.3251109930731,7.997077967896465,602.0033377768086,4627,72,3001,4,2,1,5345,100,Nami,UTILITY,233.0382202408775,324.5496936313432,0.7775408186150118,239.26515073198613,2598,7,2922,1,0,3,1753,200,Jax,TOP,374.32976930566565,532.5089712012939,7.442376902196203,806.5169263138827,3870,67,4794,4,1,0,7579,200,Tryndamere,JUNGLE,268.31122108912405,322.31077472116215,5.220184901085895,775.1032183881616,2916,47,2902,1,2,0,1370,200,Garen,MIDDLE,341.89866693826946,463.2007973424449,6.1093990092157835,667.9456725244227,3578,55,4170,3,1,0,4241,200,Jinx,BOTTOM,304.3251320998768,282.2208290145001,6.55251723994101,710.1017122850027,3240,59,2541,1,4,0,4247,200,Yuumi,UTILITY,182.60120161460486,315.2070312978014,1.554937370302432,87.43067839932844,2144,14,2838,0,0,1,1288,8,9,9,8,-1,8,9,-1,1,3,0,0,0,0,1392,763
1,NA1_5497824767,100,Vladimir,TOP,243.3059678775661,482.1921102616158,6.4412319683093715,509.03497164515284,2691,58,4342,0,0,1,2520,100,Jayce,JUNGLE,368.0040362092607,391.7003529289881,7.218863591440997,458.8858536875757,3814,65,3527,2,1,0,1380,100,Xerath,MIDDLE,252.43147204904562,497.42036143395865,7.552006268905111,347.95674567497406,2773,68,4479,0,1,0,2797,100,Draven,BOTTOM,458.8041427744526,383.9063410664458,9.661437531883804,478.8432932706034,4631,87,3457,2,1,1,4911,100,Alistar,UTILITY,242.89713802351778,304.61689220847296,0.44433706628785846,428.9166574067816,2687,4,2743,1,0,2,2763,200,Irelia,TOP,302.5196456065571,483.86067683507946,9.217490845004248,413.26168705615146,3224,83,4357,0,1,0,3802,200,Talon,JUNGLE,287.18512233784145,400.8011662044153,7.329595816905833,626.0428269535555,3086,66,3609,0,0,1,1693,200,Orianna,MIDDLE,342.61020153854247,492.31722543441424,8.3292015175657,466.03341637530553,3585,75,4433,2,1,0,2793,200,Caitlyn,BOTTOM,271.75957851464847,295.9672085729229,6.885313969635271,466.27279767578614,2947,62,2665,1,2,0,3239,200,Nami,UTILITY,203.35077325553095,279.9747707346714,1.221744767203602,369.31116108684716,2331,11,2521,0,1,2,2495,5,3,3,5,2,5,3,2,1,0,0,3,0,0,1423,963
0,NA1_5483253471,100,Chogath,TOP,333.7273183201028,491.80841681506837,7.109822473960786,657.354128090426,3504,64,4427,3,1,0,5640,100,Zed,JUNGLE,401.9426211534782,450.3754346231072,8.887572455108844,491.1446752558116,4118,80,4054,1,0,1,1612,100,TwistedFate,MIDDLE,362.7224783255949,454.8137549047767,7.443185425383017,409.38128546752336,3765,67,4094,1,2,1,1767,100,Samira,BOTTOM,218.74250111934896,313.05977834843935,5.887881680822347,507.9166344440577,2469,53,2818,0,3,0,2011,100,Blitzcrank,UTILITY,191.7482516066469,260.84982733008786,2.4440722882897443,283.287177125664,2226,22,2348,0,1,0,1267,200,Malphite,TOP,227.85431181642969,404.4909287866305,4.554770524597211,671.6745169388032,2551,41,3641,1,3,0,2369,200,Talon,JUNGLE,386.3855051559371,422.81568443812944,7.776494686401814,500.3641355879472,3978,70,3806,3,0,0,1206,200,Pantheon,MIDDLE,256.2930149486505,394.5999794989624,6.5543854176673015,464.16372211035014,2807,59,3552,0,2,2,3123,200,Vayne,BOTTOM,359.38911384865276,323.2832314346981,8.554257644612854,311.3954186600699,3735,77,2910,1,0,3,4367,200,Sona,UTILITY,261.7395290287269,340.5027559631671,1.5553222635721498,93.09676378832445,2856,14,3065,2,0,2,1569,5,7,7,5,-2,5,7,-2,0,1,2,0,0,2,155,767
0,NA1_5509950013,100,Sion,TOP,217.2165783117812,458.76072093884045,5.996503709696388,648.4754405800998,2456,54,4131,0,2,0,2473,100,Zaahen,JUNGLE,245.3430953180969,327.9908120762368,5.5535197564539835,756.222034461831,2709,50,2953,0,2,0,677,100,Veigar,MIDDLE,269.43537766671216,486.3433972014011,7.5521548619275745,368.6599001535529,2926,68,4379,0,1,0,1888,100,Yunara,BOTTOM,272.22039275132346,359.3155820957707,8.330046953926024,266.8878243253141,2951,75,3235,0,0,0,1899,100,Nami,UTILITY,177.46765896373387,282.11455472078995,0.6661691440977273,298.04562511137556,2098,6,2540,0,1,0,1967,200,Gwen,TOP,344.9649081394356,504.1159007117685,8.551961914908071,469.2712908723431,3606,77,4539,1,0,1,4828,200,XinZhao,JUNGLE,381.56697769563584,421.8997077063893,7.996381271551535,748.3103585422479,3936,72,3799,2,0,2,2511,200,Orianna,MIDDLE,348.0330702207901,540.078771639242,8.218640294954506,175.53450957450997,3634,74,4863,2,0,1,2944,200,Varus,BOTTOM,295.2148691476983,341.97845549555757,8.441017394817244,169.92452751247743,3158,76,3079,0,0,1,3562,200,Rell,UTILITY,225.88902557000662,263.886189017374,1.8879491464794076,235.20989841896835,2534,17,2376,1,0,2,548,0,6,6,0,-6,0,6,-6,0,1,0,2,1,-1,-3728,-1418
0,NA1_5510238808,100,Garen,TOP,217.78983231479504,344.8362587098092,4.219998048899382,649.0392003490874,2461,38,3105,1,4,0,2130,100,Graves,JUNGLE,280.5361283541911,322.17865350232574,5.774749080103367,501.0956959732743,3026,52,2901,0,2,2,1950,100,Kassadin,MIDDLE,274.76554549976464,440.78275008987373,5.996995307779479,607.6852928875697,2974,54,3969,1,2,1,5363,100,Ashe,BOTTOM,366.81085525439744,352.39195160962896,8.551963767628145,261.51362395690404,3803,77,3173,2,1,0,2951,100,Milio,UTILITY,199.34313097337372,292.6411554632225,0.666548178756217,246.83414246603297,2295,6,2635,0,1,2,1226,200,Irelia,TOP,442.34926887145116,553.3845978188064,9.328508087887245,478.42241192054126,4483,84,4983,4,0,0,5225,200,Sylas,JUNGLE,473.12230935812596,382.25956833681056,6.663084687070764,657.499567923247,4760,60,3442,4,1,2,3399,200,Vladimir,MIDDLE,342.7232481327254,470.5455050215288,8.329116575668369,758.8492623840007,3586,75,4237,1,2,3,4434,200,Smolder,BOTTOM,312.08850997690996,383.91210052725165,8.107661989642457,279.30820237445903,3310,73,3457,1,0,0,1523,200,Poppy,UTILITY,230.77837171025737,270.4473217158252,1.99921160018489,297.0140234489917,2578,18,2435,0,1,2,1479,4,10,10,4,-6,4,10,-6,0,0,0,0,2,-2,-4158,-2771
1,NA1_5509631284,100,KSante,TOP,320.00881476395375,533.2670378516091,6.553566351112624,387.8265646731566,3381,59,4801,1,1,2,2912,100,Qiyana,JUNGLE,374.23712201824065,440.2151399013202,7.77559410369853,575.4954861862268,3869,70,3963,2,0,0,692,100,Hwei,MIDDLE,321.03577031927875,518.5122165973456,7.331271954510088,429.1598739978001,3390,66,4668,2,1,0,4816,100,Tristana,BOTTOM,310.1369166939062,394.6535879265452,5.9981310681579725,538.9489769543642,3292,54,3553,2,1,1,3956,100,Morgana,UTILITY,207.94120506249556,185.0578483872865,0.999837090535247,528.4093974973753,2372,9,1666,1,3,0,2681,200,Riven,TOP,260.27775491772314,437.7971469188286,5.2210508695998765,423.67227509800887,2843,47,3941,1,2,0,1910,200,Naafiri,JUNGLE,365.6624489067872,392.53407027597694,7.219641301737247,436.33102258843115,3792,65,3534,2,0,0,1033,200,TwistedFate,MIDDLE,270.80719889701845,403.7703038697029,6.664601657479194,554.029557101954,2938,60,3635,0,3,0,2386,200,Caitlyn,BOTTOM,339.91585988406746,359.57709981692614,7.886856910752679,462.44776198309773,3560,71,3237,2,1,2,5609,200,Karma,UTILITY,248.82327207402716,333.1245921296887,1.2218354490987344,589.6105309406596,2740,11,2999,1,2,3,3256,8,6,6,8,2,8,6,2,1,1,0,1,0,0,431,1305
